Country,Mean,Median,Q_0.005,Q_0.025,Q_0.050,Q_0.250,Q_0.750,Q_0.950,Q_0.975,Q_0.995
Austria,1.7,1.69,1.23,1.32,1.37,1.55,1.83,2.07,2.15,2.32
Belgium,1.7,1.69,1.3,1.38,1.42,1.57,1.82,2.03,2.1,2.26
France,3.07,2.97,1.89,2.05,2.15,2.58,3.45,4.32,4.65,5.37
Germany,3.77,3.63,2.09,2.32,2.46,3.06,4.33,5.59,6.07,7.11
Italy,2.1,2.09,1.5,1.63,1.69,1.92,2.26,2.54,2.64,2.83
Netherlands,2.29,2.26,1.53,1.67,1.75,2.03,2.51,2.94,3.09,3.4
Portugal,2.8,2.74,1.71,1.89,2.0,2.39,3.14,3.82,4.07,4.6
Spain,2.51,2.45,1.68,1.81,1.89,2.19,2.77,3.33,3.54,3.99
Switzerland,1.91,1.89,1.36,1.46,1.52,1.72,2.08,2.38,2.49,2.73
United Kingdom,2.4,2.38,1.64,1.79,1.88,2.16,2.62,3.0,3.13,3.4
