,country,1st cases,max incidence,missing dates,length
0,Andorra,1 ,1 ERR,20 WARN,nan 
1,Austria,1 ,11 WARN,29 WARN,54.0 
2,Belgium,1 ,19 WARN,5 WARN,60.0 
3,Bosnia and Herzegovina,1 ,1 ERR,26 WARN,nan 
4,Bulgaria,1 ,1 ERR,30 WARN,nan 
5,Croatia,1 ,3 ERR,36 WARN,nan 
6,Cyprus,1 ,1 ERR,0 ,nan 
7,Czechia,1 ,3 ERR,74 WARN,nan 
8,Denmark,1 ,9 ERR,31 WARN,nan 
9,Estonia,1 ,2 ERR,30 WARN,nan 
10,Finland,1 ,3 ERR,48 WARN,nan 
11,France,1 ,106 ,3 WARN,38.0 
12,Georgia,1 ,1 ERR,0 ,nan 
13,Germany,1 ,90 ,8 WARN,36.0 
14,Greece,1 ,5 ERR,34 WARN,nan 
15,Hungary,1 ,3 ERR,32 WARN,nan 
16,Iceland,2 WARN,2 ERR,50 WARN,nan 
17,Ireland,1 ,6 ERR,31 WARN,nan 
18,Israel,1 ,9 ERR,33 WARN,nan 
19,Italy,1 ,21 WARN,42 WARN,73.0 
20,Latvia,1 ,1 ERR,68 WARN,nan 
21,Lithuania,1 ,1 ERR,3 WARN,nan 
22,Luxembourg,1 ,4 ERR,36 WARN,nan 
23,Malta,1 ,2 ERR,56 WARN,nan 
24,Netherlands,1 ,32 ,14 WARN,49.0 
25,Norway,1 ,4 ERR,36 WARN,nan 
26,Poland,1 ,6 ERR,39 WARN,nan 
27,Portugal,1 ,18 WARN,10 WARN,33.0 
28,Republic of Moldova,1 ,1 ERR,0 ,nan 
29,Romania,1 ,4 ERR,40 WARN,nan 
30,Slovakia,1 ,1 ERR,25 WARN,nan 
31,Slovenia,1 ,3 ERR,51 WARN,nan 
32,Spain,1 ,135 ,3 WARN,49.0 
33,Sweden,1 ,6 ERR,36 WARN,nan 
34,Switzerland,1 ,15 WARN,9 WARN,50.0 
35,United Kingdom,1 ,70 ,48 WARN,72.0 
